year,name ,WOB,ROP data,Db,RPM,UCS,NOC,BR,SR,Dc,NOB
2015,SWG_4B_100,2300,9.9,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,2420,11,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,2660,14.7,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,2910,18.1,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,3180,22.6,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,3410,27.2,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,3660,31.1,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,3940,36.5,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_100,4170,39.4,3.75,100,28000,8,15,1,0.43,4
2015,SWG_4B_150,2150,10.2,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,2300,11.9,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,2560,15.1,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,2810,19.6,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,3060,25.6,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,3290,31.4,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,3540,37.7,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,3820,44.3,3.75,150,28000,8,15,1,0.43,4
2015,SWG_4B_150,4070,50.8,3.75,150,28000,8,15,1,0.43,4
2015,SWG_5B_100,2250,10.5,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,2390,12.3,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,2620,15.9,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,2860,19.5,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,3100,25.9,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,3310,30.8,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,3560,35.9,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,3850,40.4,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_100,4100,44.6,3.75,100,28000,8,15,1,0.43,5
2015,SWG_5B_150,2150,11.5,3.75,150,28000,8,15,1,0.43,5
2015,SWG_5B_150,2320,13.4,3.75,150,28000,8,15,1,0.43,5
2015,SWG_5B_150,2550,16.2,3.75,150,28000,8,15,1,0.43,5
2015,SWG_5B_150,2790,21.6,3.75,150,28000,8,15,1,0.43,5
2015,SWG_5B_150,3020,28.4,3.75,150,28000,8,15,1,0.43,5
2015,SWG_5B_150,3260,34.3,3.75,150,28000,8,15,1,0.43,5
2015,SWG_5B_150,3500,41.1,3.75,150,28000,8,15,1,0.43,5
